Datasets,Score,In OpenVLA?,FInish Modify,How many different task  after modify,Tasks / Categories,#UniqueTasks,Comments,Scenes,#Scenes,#Trajectories,Avg. frames/trajectory,Control frequency,In OXE?,NickName,Language instructions,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,How to modify it to align with our overall objectives?,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments
Berkeley Autolab UR5,2,TRUE,FALSE,,"1. Take the tiger out of the red bowl and put it in the grey bowl.
2. Sweep the green cloth to the left side of the table.
3. Pick up the blue cup and put it into the brown cup.
4. Put the ranch bottle into the pot.",4,,Tabletop,1,896,95,5,✅,berkeley_autolab_ur5,"Templated
1. Take the tiger out of the red bowl and put it in the grey bowl.
2. Sweep the green cloth to the left side of the table.
3. Pick up the blue cup and put it into the brown cup.
4. Put the ranch bottle into the pot.",2,1,1,1,UR5,Single Arm,,"tiger, red bowl, grey bowl, green cloth, blue cup, brown cup, ranch bottle ,pot","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': float32,
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Delta change in roll, pitch, yaw.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Delta change in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'hand_image': Image(shape=(480, 640, 3), dtype=uint8),
            'image': Image(shape=(480, 640, 3), dtype=uint8),
            'image_with_depth': Image(shape=(480, 640, 1), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'robot_state': Tensor(shape=(15,), dtype=float32, description=Explanation of the robot state can be found at https://sites.google.com/corp/view/berkeley-ur5),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,Adding some details for the specific action,,,,Human Spacemouse,,,
TOTO Benchmark,2,TRUE,FALSE,,"1. pour the material into a target cup on the table
2. scoop material from the bowl into the spoon (not in OXE?)",2,,Tabletop,1,901,312,30,✅,toto,"Templated
1. pour the material into a target cup on the table
2. scoop material from the bowl into the spoon (not in OXE?)",1,0,0,1,"Franka

(joint pos)",Single Arm,,"Cup, containers, materials","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'open_gripper': bool,
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'state': Tensor(shape=(7,), dtype=float32, description=numpy array of shape (7,). Contains the robot joint states (as absolute joint angles) at each timestep),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",Joint position,"1. Seems that only pour task is in OXE
2. Adding details",,,,"Human teleoperation -- VR Teleop, trained state-based BC policies, and trajectory replay with noise",,,
Language Table,5,TRUE,FALSE,,1.place/ 2. push/ 3. move/ 4. put/ 5. slide/ 6.separate {} to/towards {},NA,,"A smooth wooden board with a fixed set of 8 plastic blocks, comprising 4 colors and 6 shapes",1,"442,226",20,10,✅,language_table,"Natural
1.place
2. push
3. move
4. put
5. slide
6.separate {} to/towards {}",1,0,0,1,xArm,Single Arm,,"A fixed set of 8 plastic blocks, comprising 4 colors and 6 shapes","action: shape=(2,), <dtype: 'float32'>
is_first: shape=(), <dtype: 'bool'>
is_last: shape=(), <dtype: 'bool'>
is_terminal: shape=(), <dtype: 'bool'>
observation: (dict)
    effector_target_trshape=(2,), <dtype: 'float32'>
    effector_translation: shape=(2,), <dtype: 'float32'>
    instruction: shape=(512,),anslation:  <dtype: 'int32'>
    rgb: shape=(360, 640, 3), <dtype: 'uint8'>
reward: shape=(), <dtype: 'float32'>",EEF Position,"1. The instructions are quite diverse although there are repeated trajectoires under the same task
2. The initial surroundings/end states maybe different

Note:
1. the observation fps maybe 5
2. the left/right top/bottom maybe not from agents' view",,,,Human VR,,,
Columbia PushT Dataset,1,FALSE,FALSE,,The task requires pushing a T-shaped block (gray) to a fixed target (green) with a circular end-effector (blue).,1,,Tabletop,1,122,204,10,✅,columbia_cairlab_pusht_real,None,2,0,1,1,UR5,Single Arm,,a T-shaped block (gray),"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': float32,
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Delta change in roll, pitch, yaw.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Delta change in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(240, 320, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'robot_state': Tensor(shape=(2,), dtype=float32, description=Robot end effector XY state),
            'wrist_image': Image(shape=(240, 320, 3), dtype=uint8),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,The task is different from ours,,,,Human VR,,,
Stanford Kuka Multimodal,1,FALSE,FALSE,,Insert differently-shaped pegs into differently-shaped holes with low tolerances (~2mm).,1,,Tabletop,1,"3,000",50,20,✅,stanford_kuka_multimodal_dataset_converted_externally_to_rlds,None,1,1,0,1,Kuka iiwa,Single Arm,,"peg, hole","FeaturesDict({
    'episode_metadata': FeaturesDict({
    }),
    'steps': Dataset({
        'action': Tensor(shape=(4,), dtype=float32, description=Robot action, consists of [3x EEF position, 1x gripper open/close].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'contact': Tensor(shape=(50,), dtype=float32, description=Robot contact information.),
            'depth_image': Tensor(shape=(128, 128, 1), dtype=float32, description=Main depth camera observation.),
            'ee_forces_continuous': Tensor(shape=(50, 6), dtype=float32, description=Robot end-effector forces.),
            'ee_orientation': Tensor(shape=(4,), dtype=float32, description=Robot end-effector orientation quaternion.),
            'ee_orientation_vel': Tensor(shape=(3,), dtype=float32, description=Robot end-effector orientation velocity.),
            'ee_position': Tensor(shape=(3,), dtype=float32, description=Robot end-effector position.),
            'ee_vel': Tensor(shape=(3,), dtype=float32, description=Robot end-effector velocity.),
            'ee_yaw': Tensor(shape=(4,), dtype=float32, description=Robot end-effector yaw.),
            'ee_yaw_delta': Tensor(shape=(4,), dtype=float32, description=Robot end-effector yaw delta.),
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'joint_pos': Tensor(shape=(7,), dtype=float32, description=Robot joint positions.),
            'joint_vel': Tensor(shape=(7,), dtype=float32, description=Robot joint velocities.),
            'optical_flow': Tensor(shape=(128, 128, 2), dtype=float32, description=Optical flow.),
            'state': Tensor(shape=(8,), dtype=float32, description=Robot proprioceptive information, [7x joint pos, 1x gripper open/close].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. The resolution is low and the task is very different from ours
2. The trajectory is not generated via teleoperation, but expert policy",,,,Expert Policy,,,
NYU ROT,3,FALSE,FALSE,,"- insert the peg in the cup (21.4%)
- erase the board (7.1%)
- pour the almonds into the cup (7.1%)
- hang the bag on the hook (7.1%)
- open the box (7.1%)
- hang the mug on the hook (7.1%)
- reach the blue mark on the table (7.1%)
- hang the hanger on the rod (7.1%)
- press the button (7.1%)
- close the door (7.1%)
- turn the knob (7.1%)
- stack the cups (7.1%)",12,,Table Top,1,14,31,3,✅,nyu_rot_dataset_converted_externally_to_rlds,"Templated
- insert the peg in the cup (21.4%)
- erase the board (7.1%)
- pour the almonds into the cup (7.1%)
- hang the bag on the hook (7.1%)
- open the box (7.1%)
- hang the mug on the hook (7.1%)
- reach the blue mark on the table (7.1%)
- hang the hanger on the rod (7.1%)
- press the button (7.1%)
- close the door (7.1%)
- turn the knob (7.1%)
- stack the cups (7.1%)",1,0,0,1,xArm,Single Arm,,"board, almonds, cup, bag, hook, box, mug, mark, table, hanger, rod, button, door, peg, knob, cups
","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x robot end effector delta positions, 3x robot end effector rotations (roll, pitch, yaw),1x gripper open/close (0-open, 1-closed)].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(84, 84, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x robot end effector positions, 3x robot end effector rotations (roll, pitch, yaw),1x gripper open/close (0-open, 1-closed)].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,1. The resolution is low and very small-scale,,,,Human Joystick,,,
Stanford HYDRA,3,TRUE,FALSE,,"make a cup of coffee with the keurig machine
make a piece of toast with the oven
palce dishes in the dish rack",3,,"Table Top, Kitchen (also toy kitchen)",2,550,646,10,✅,stanford_hydra_dataset_converted_externally_to_rlds,"Templated
- make a cup of coffee with the keurig machine
- make a piece of toast with the oven
- palce dishes in the dish rack",2,0,1,1,Franka,Single Arm,,"Oven, plate, bread, keurig machine, cup, dish, spoon, rack","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x EEF positional delta, 3x EEF orientation delta in euler angle, 1x close gripper].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_dense': Scalar(shape=(), dtype=bool, description=True if state is a waypoint(010) or in dense mode(x111).),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(240, 320, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(27,), dtype=float32, description=Robot state, consists of [3x EEF position,4x EEF orientation in quaternion,3x EEF orientation in euler angle,7x robot joint angles, 7x robot joint velocities,3x gripper state.),
            'wrist_image': Image(shape=(240, 320, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,1. decompose into atmoic tasks because the avg.frames is large,,,,Human VR,,,
Austin BUDS,2,FALSE,FALSE,,"Take the lid off the pot, put the pot on the plate, and use the tool to push to pot to the front of the table.",1,,Table Top,1,50,682,20,✅,austin_buds_dataset_converted_externally_to_rlds,"Take the lid off the pot, put the pot on the plate, and use the tool to push to pot to the front of the table.",2,0,1,1,Franka,Single Arm,,"pot, plate, spoon, cup","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [6x end effector delta pose, 1x gripper position].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(24,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper position, 16x robot end-effector homogeneous matrix].),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. decompose into atmoic tasks because the duration exceeds 600 frames
2. seems there are not so many difference in the 3rd-view trajectories",,,,Human Spacemouse,,,
NYU Franka Play,4,TRUE,FALSE,,play with the kitchen,1,,Kitchen (also toy kitchen),1,456,86,3,✅,nyu_franka_play_dataset_converted_externally_to_rlds,"Templated
- play with the kitchen",2,2,0,2,Franka,Single Arm,,"cabinet, pot, drawer","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(15,), dtype=float32, description=Robot action, consists of [7x joint velocities, 3x EE delta xyz, 3x EE delta rpy, 1x gripper position, 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth': Tensor(shape=(128, 128, 1), dtype=int32, description=Right camera depth observation.),
            'depth_additional_view': Tensor(shape=(128, 128, 1), dtype=int32, description=Left camera depth observation.),
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Right camera RGB observation.),
            'image_additional_view': Image(shape=(128, 128, 3), dtype=uint8, description=Left camera RGB observation.),
            'state': Tensor(shape=(13,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 3x EE xyz, 3x EE rpy.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,"1. A lot of details can be added, since the palying process has many differences for different trajectoies",,,,Human VR,,,
Maniskill,1,FALSE,FALSE,,"- Pick up the object and move it to a goal position (56.0%)
- Plug the charger into the wall socket (6.0%)
- Pick up a designated object from a clutter of objects (20.0%)
- Turn on the faucet by rotating a designated handle (6.0%)
- Insert the peg into the horizontal hole in a box (6.0%)
- Insert a designated object into the corresponding slot on a board (6.0%)",6,,Table Top,1,"30,000",150,20,✅,maniskill_dataset_converted_externally_to_rlds,"Templated
- Pick up the object and move it to a goal position (56.0%)
- Plug the charger into the wall socket (6.0%)
- Pick up a designated object from a clutter of objects (20.0%)
- Turn on the faucet by rotating a designated handle (6.0%)
- Insert the peg into the horizontal hole in a box (6.0%)
- Insert a designated object into the corresponding slot on a board (6.0%)",2,2,2,0,Franka,Single Arm,,articulated objects like peg,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': Text(shape=(), dtype=string),
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x end effector delta target position, 3x end effector delta target orientation in axis-angle format, 1x gripper target position (mimic for two fingers)]. For delta target position, an action of -1 maps to a robot movement of -0.1m, and action of 1 maps to a movement of 0.1m. For delta target orientation, its encoded angle is mapped to a range of [-0.1rad, 0.1rad] for robot execution. For example, an action of [1, 0, 0] means rotating along the x-axis by 0.1 rad. For gripper target position, an action of -1 means close, and an action of 1 means open.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'base_pose': Tensor(shape=(7,), dtype=float32, description=Robot base pose in the world frame, consists of [x, y, z, qw, qx, qy, qz]. The first three dimensions represent xyz positions in meters. The last four dimensions are the quaternion representation of rotation.),
            'depth': Image(shape=(256, 256, 1), dtype=uint16, description=Main camera Depth observation. Divide the depth value by 2**10 to get the depth in meters.),
            'image': Image(shape=(256, 256, 3), dtype=uint8, description=Main camera RGB observation.),
            'main_camera_cam2world_gl': Tensor(shape=(4, 4), dtype=float32, description=Transformation from the main camera frame to the world frame in OpenGL/Blender convention.),
            'main_camera_extrinsic_cv': Tensor(shape=(4, 4), dtype=float32, description=Main camera extrinsic matrix in OpenCV convention.),
            'main_camera_intrinsic_cv': Tensor(shape=(3, 3), dtype=float32, description=Main camera intrinsic matrix in OpenCV convention.),
            'state': Tensor(shape=(18,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 2x gripper position, 7x robot joint angle velocity, 2x gripper velocity]. Angle in radians, position in meters.),
            'target_object_or_part_final_pose': Tensor(shape=(7,), dtype=float32, description=The final pose towards which the target object or object part needs be manipulated, consists of [x, y, z, qw, qx, qy, qz]. The pose is represented in the world frame. An episode is considered successful if the target object or object part is manipulated to this pose.),
            'target_object_or_part_final_pose_valid': Tensor(shape=(7,), dtype=uint8, description=Whether each dimension of target_object_or_part_final_pose is valid in an environment. 1 = valid; 0 = invalid (in which case one should ignore the corresponding dimensions in target_object_or_part_final_pose). ""Invalid"" means that there is no success check on the final pose of target object or object part in the corresponding dimensions.),
            'target_object_or_part_initial_pose': Tensor(shape=(7,), dtype=float32, description=The initial pose of the target object or object part to be manipulated, consists of [x, y, z, qw, qx, qy, qz]. The pose is represented in the world frame. This variable is used to specify the target object or object part when multiple objects or object parts are present in an environment),
            'target_object_or_part_initial_pose_valid': Tensor(shape=(7,), dtype=uint8, description=Whether each dimension of target_object_or_part_initial_pose is valid in an environment. 1 = valid; 0 = invalid (in which case one should ignore the corresponding dimensions in target_object_or_part_initial_pose).),
            'tcp_pose': Tensor(shape=(7,), dtype=float32, description=Robot tool-center-point pose in the world frame, consists of [x, y, z, qw, qx, qy, qz]. Tool-center-point is the center between the two gripper fingers.),
            'wrist_camera_cam2world_gl': Tensor(shape=(4, 4), dtype=float32, description=Transformation from the wrist camera frame to the world frame in OpenGL/Blender convention.),
            'wrist_camera_extrinsic_cv': Tensor(shape=(4, 4), dtype=float32, description=Wrist camera extrinsic matrix in OpenCV convention.),
            'wrist_camera_intrinsic_cv': Tensor(shape=(3, 3), dtype=float32, description=Wrist camera intrinsic matrix in OpenCV convention.),
            'wrist_depth': Image(shape=(256, 256, 1), dtype=uint16, description=Wrist camera Depth observation. Divide the depth value by 2**10 to get the depth in meters.),
            'wrist_image': Image(shape=(256, 256, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. This dataset is not real-world trajectories
2. The templated language instruction is not very clear, like ""object""",,,,Scripted,,,
Furniture Bench,3,TRUE,FALSE,,"- assemble cabinet (6.0%)
- assemble one_leg (52.0%)
- assemble stool (10.0%)
- assemble drawer (10.0%)
- assemble lamp (10.0%)
- assemble round_table (6.0%)
- assemble chair (4.0%)
- assemble square_table (2.0%)",8,,Table Top,1,"5,100",710,10,✅,furniture_bench_dataset_converted_externally_to_rlds,"Templated
- assemble cabinet (6.0%)
- assemble one_leg (52.0%)
- assemble stool (10.0%)
- assemble drawer (10.0%)
- assemble lamp (10.0%)
- assemble round_table (6.0%)
- assemble chair (4.0%)
- assemble square_table (2.0%)",2,0,1,1,Franka,Single Arm,,"cabinet, stool, drawer, lamp, chair, table","action: shape=(8,), <dtype: 'float32'>
discount: shape=(), <dtype: 'float32'>
is_first: shape=(), <dtype: 'bool'>
is_last: shape=(), <dtype: 'bool'>
is_terminal: shape=(), <dtype: 'bool'>
language_embedding: shape=(512,), <dtype: 'float32'>
language_instruction: shape=(), <dtype: 'string'>
observation: (dict)
    image: shape=(224, 224, 3), <dtype: 'uint8'>
    state: shape=(35,), <dtype: 'float32'>
    wrist_image: shape=(224, 224, 3), <dtype: 'uint8'>
reward: shape=(), <dtype: 'float32'>
skill_completion: shape=(), <dtype: 'float32'>",EEF velocity,"1. The tasks are long-horizon tasks with high variance of duration, so we need to decompose into fine-grained thoughts and actions
2. The trajectoies under the same task seem to have the same process",,,,Human VR,,,
