Datasets,NickName,Score,In OpenVLA?,FInish Modify,need modify,other view,fully download,whether FPS is proper?,AI/human,finish,#Trajectories,fully upload to AWS,verison,download link,Language instructions,In OXE?,How to modify it to align with our overall objectives?,Tasks / Categories,Comments,#Scenes,Avg. frames/trajectory,Control frequency,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments,Real or Not?,Granularity,Pixel Quality,Size of Dataset
Saytap,,0,FALSE,FALSE,,,,,,,20,,,,"Natural
- trot forward fast (5.0%)
- pace in place (5.0%)
- stand still (5.0%)
- bound forward slowly (5.0%)
- move forward fast in pacing gait (5.0%)
- bound backward fast (5.0%)
- move backward slowly in pacing gait (5.0%)
...
- raise your front right leg (5.0%)
- trot backward fast (5.0%)
- bound backward slowly (5.0%)
- trot backward slowly (5.0%)",✅,"1. Only 20 trajectoires, and the resolution is very low
2. The image seems to be black??","- trot forward fast (5.0%)
- pace in place (5.0%)
- stand still (5.0%)
- bound forward slowly (5.0%)
- move forward fast in pacing gait (5.0%)
- bound backward fast (5.0%)
- move backward slowly in pacing gait (5.0%)
...
- raise your front right leg (5.0%)
- trot backward fast (5.0%)
- bound backward slowly (5.0%)
- trot backward slowly (5.0%)",,1,"1,147",50,0,0,0,0,Unitree A1,Quadrupedal Robot,,"leg, gait","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(12,), dtype=float32, description=Robot action, consists of [12x joint positios].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'desired_pattern': Tensor(shape=(4, 5), dtype=bool, description=Desired foot contact pattern for the 4 legs, the 4 rows are for the front right, front left, rear right and rear left legs, the pattern length is 5 (=0.1s).),
            'desired_vel': Tensor(shape=(3,), dtype=float32, description=Desired velocites. The first 2 are linear velocities along and perpendicular to the heading direction, the 3rd is the desired angular velocity about the yaw axis.),
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Dummy camera RGB observation.),
            'prev_act': Tensor(shape=(12,), dtype=float32, description=Actions applied in the previous step.),
            'proj_grav_vec': Tensor(shape=(3,), dtype=float32, description=The gravity vector [0, 0, -1] in the robot base frame.),
            'state': Tensor(shape=(30,), dtype=float32, description=Robot state, consists of [3x robot base linear velocity, 3x base angular vel, 12x joint position, 12x joint velocity].),
            'wrist_image': Image(shape=(64, 64, 3), dtype=uint8, description=Dummy wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",Joint position,,,,Expert Policy,,,,,,,
conqhose,,0,FALSE,,,,,,,,139,,,,"Templated
1.pick up the pillow and place it on the couch
2.grasp hose
3.vacuum the floor",✅,"1. The image needs to be rotated and the black part cut out
2. 2 error in OXE. sheet. , 
   a. Only 3 camera ，not 6 . 
   b. 1 wrist camera, not 0 
   I have emailed the person in charge. mitranopeter @gmail.com
3. Both tasks and scenes are very simple， repeat",grasp hose,,1,56,30,3,0,1,2,Spot,Single Arm,,only hose,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': float32,
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'frontleft_fisheye_image': Image(shape=(726, 604, 3), dtype=uint8),
            'frontright_fisheye_image': Image(shape=(726, 604, 3), dtype=uint8),
            'hand_color_image': Image(shape=(480, 640, 3), dtype=uint8),
            'state': Tensor(shape=(66,), dtype=float32),
        }),
        'reward': float32,
    }),
})",EEF velocity,,NA,"
https://github.com/UM-ARM-Lab/conq_hose_manipulation_dataset_builder",scripts,spot,,bad dataset,,,,
TidyBot,,0,FALSE,,,,,,,,24,,,,"1.Put drink cans in the recycling bin, snacks in the plastic storage box, fruit in the black storage box, clothes on the sofa, and  wooden blocks in the drawer. 3
2.Put Rubik's cubes on the coffee table and other toys in the plastic storage box. 3
3.Put clothes in the white laundry basket, bags on the sofa, and snacks in the black storage box. 3
4.Put marker pens in the plastic storage box, clothes on the chair, plush toys on the sofa, and rubber gloves in the drawer.  3
5.Put paper napkins in the trash can, soda cans in the recycling bin, plastic bags in the black storage box, and utensils on the coffee table. 3
6.Put fruits on the left shelf, wooden blocks in the middle shelf, and construction tools in the right shelf. 3
7.Put hats in the drawer, socks in the white laundry basket, other clothes in the seagrass laundry basket, shoes in the black storage box, and plush toys on the sofa. 3 
8.Put dark-colored clothes in the white laundry basket and light-colored clothes in the seagrass laundry basket.3",✅,"1. bad datasets
2. have not vedio , only static image
3. action space is string can not be used","1.Put drink cans in the recycling bin, snacks in the plastic storage box, fruit in the black storage box, clothes on the sofa, and  wooden blocks in the drawer. 3
2.Put Rubik's cubes on the coffee table and other toys in the plastic storage box. 3
3.Put clothes in the white laundry basket, bags on the sofa, and snacks in the black storage box. 3
4.Put marker pens in the plastic storage box, clothes on the chair, plush toys on the sofa, and rubber gloves in the drawer.  3
5.Put paper napkins in the trash can, soda cans in the recycling bin, plastic bags in the black storage box, and utensils on the coffee table. 3
6.Put fruits on the left shelf, wooden blocks in the middle shelf, and construction tools in the right shelf. 3
7.Put hats in the drawer, socks in the white laundry basket, other clothes in the seagrass laundry basket, shoes in the black storage box, and plush toys on the sofa. 3 
8.Put dark-colored clothes in the white laundry basket and light-colored clothes in the seagrass laundry basket.3",,1,9,na,1,0,0,1,Tidybot,mobile Manipulator,,"bin,fruit,socks in the kichenscene","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': string,
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'image': Image(shape=(360, 640, 3), dtype=uint8),
            'object': string,
            'receptacles': Sequence(string),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",string(quit special),,,,,,,,,,,
VIMA,,0,FALSE,,,,,,,,660103,,,,"Template
1.Put the yellow object in {scene} into the yellow and purple stripe object.
2.Rotate the {dragged_obj} 90 degrees.
3.Stack objects in this order {frame_0} {frame_1} {frame_2}.
4.This is a blicket {dragged_obj_1}. This is a wug {base_obj}. Put a blicket into a wug.
5.Sweep one {swept_obj} into {bounds} without exceeding {constraint}.
6.First put {dragged_obj} into {base_obj} then put the object that was previously at its east into the same {base_obj}.
7.""Twist"" is defined as rotating object a specific angle. For examples: From {before_twist_1} to {after_twist_1}. From {before_twist_2} to {after_twist_2}. From {before_twist_3} to {after_twist_3}. Now twist all polka dot objects.
8.Rotate the {dragged_obj} 60 degrees.
9.{demo_blicker_obj_1} is kobar than {demo_less_blicker_obj_1}. {demo_blicker_obj_2} is kobar than {demo_less_blicker_obj_2}. {demo_blicker_obj_3} is kobar than {demo_less_blicker_obj_3}. Put the less kobar {dragged_obj} into the {base_obj}.
10.Rearrange objects to this setup {scene} and then restore.
11.Rotate the {dragged_obj} 120 degrees.
12.Put the tiger object in {scene} into the blue swirl object.
13.{demo_blicker_obj_1} is kobar than {demo_less_blicker_obj_1}. {demo_blicker_obj_2} is kobar than {demo_less_blicker_obj_2}. {demo_blicker_obj_3} is kobar than {demo_less_blicker_obj_3}. Put the kobar {dragged_obj} into the {base_obj}.
14.This is a dax {base_obj}. This is a blicket {dragged_obj_1}. Put a blicket into a dax.
15.Put the red swirl object in {scene} into the yellow and purple stripe object.
16.""Twist"" is defined as rotating object a specific angle. For examples: From {before_twist_1} to {after_twist_1}. From {before_twist_2} to {after_twist_2}. From {before_twist_3} to {after_twist_3}. Now twist all green objects.
...
39.Rearrange to this {scene}.
40.This is a wug {base_obj}. This is a dax {dragged_obj_1}. Put a dax into a wug.
41.Put {dragged_obj} into {base_obj_1} then {base_obj_2}. Finally restore it into its original container.",✅,"1. there is ""Semantic Segmentation Mask"" infor
2.only the static first image 
3. bad dataset","1.Put the yellow object in {scene} into the yellow and purple stripe object.
2.Rotate the {dragged_obj} 90 degrees.
3.Stack objects in this order {frame_0} {frame_1} {frame_2}.
4.This is a blicket {dragged_obj_1}. This is a wug {base_obj}. Put a blicket into a wug.
5.Sweep one {swept_obj} into {bounds} without exceeding {constraint}.
6.First put {dragged_obj} into {base_obj} then put the object that was previously at its east into the same {base_obj}.
7.""Twist"" is defined as rotating object a specific angle. For examples: From {before_twist_1} to {after_twist_1}. From {before_twist_2} to {after_twist_2}. From {before_twist_3} to {after_twist_3}. Now twist all polka dot objects.
8.Rotate the {dragged_obj} 60 degrees.
9.{demo_blicker_obj_1} is kobar than {demo_less_blicker_obj_1}. {demo_blicker_obj_2} is kobar than {demo_less_blicker_obj_2}. {demo_blicker_obj_3} is kobar than {demo_less_blicker_obj_3}. Put the less kobar {dragged_obj} into the {base_obj}.
10.Rearrange objects to this setup {scene} and then restore.
11.Rotate the {dragged_obj} 120 degrees.
12.Put the tiger object in {scene} into the blue swirl object.
13.{demo_blicker_obj_1} is kobar than {demo_less_blicker_obj_1}. {demo_blicker_obj_2} is kobar than {demo_less_blicker_obj_2}. {demo_blicker_obj_3} is kobar than {demo_less_blicker_obj_3}. Put the kobar {dragged_obj} into the {base_obj}.
14.This is a dax {base_obj}. This is a blicket {dragged_obj_1}. Put a blicket into a dax.
15.Put the red swirl object in {scene} into the yellow and purple stripe object.
16.""Twist"" is defined as rotating object a specific angle. For examples: From {before_twist_1} to {after_twist_1}. From {before_twist_2} to {after_twist_2}. From {before_twist_3} to {after_twist_3}. Now twist all green objects.
...
39.Rearrange to this {scene}.
40.This is a wug {base_obj}. This is a dax {dragged_obj_1}. Put a dax into a wug.
41.Put {dragged_obj} into {base_obj_1} then {base_obj_2}. Finally restore it into its original container.",,1,2,na,2,0,0,2,UR5,single Arm,,object in simualte environment,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'action_bounds': FeaturesDict({
            'high': Tensor(shape=(3,), dtype=float32),
            'low': Tensor(shape=(3,), dtype=float32),
        }),
        'end-effector type': string,
        'failure': Scalar(shape=(), dtype=bool),
        'file_path': string,
        'n_objects': Scalar(shape=(), dtype=int64),
        'num_steps': Scalar(shape=(), dtype=int64),
        'robot_components_seg_ids': Sequence(Scalar(shape=(), dtype=int64)),
        'seed': Scalar(shape=(), dtype=int64),
        'success': Scalar(shape=(), dtype=bool),
        'task': string,
    }),
    'steps': Dataset({
        'action': FeaturesDict({
            'pose0_position': Tensor(shape=(3,), dtype=float32),
            'pose0_rotation': Tensor(shape=(4,), dtype=float32),
            'pose1_position': Tensor(shape=(3,), dtype=float32),
            'pose1_rotation': Tensor(shape=(4,), dtype=float32),
        }),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'multimodal_instruction': string,
        'multimodal_instruction_assets': FeaturesDict({
            'asset_type': Sequence(string),
            'frontal_image': Sequence(Tensor(shape=(128, 256, 3), dtype=uint8)),
            'frontal_segmentation': Sequence(Tensor(shape=(128, 256), dtype=uint8)),
            'image': Sequence(Tensor(shape=(128, 256, 3), dtype=uint8)),
            'key_name': Sequence(string),
            'segmentation': Sequence(Tensor(shape=(128, 256), dtype=uint8)),
            'segmentation_obj_info': Sequence({
                'obj_name': Sequence(string),
                'segm_id': Sequence(Scalar(shape=(), dtype=int64)),
                'texture_name': Sequence(string),
            }),
        }),
        'observation': FeaturesDict({
            'ee': int64,
            'frontal_image': Tensor(shape=(128, 256, 3), dtype=uint8),
            'frontal_segmentation': Tensor(shape=(128, 256), dtype=uint8),
            'image': Tensor(shape=(128, 256, 3), dtype=uint8),
            'segmentation': Tensor(shape=(128, 256), dtype=uint8),
            'segmentation_obj_info': FeaturesDict({
                'obj_name': Sequence(string),
                'segm_id': Sequence(Scalar(shape=(), dtype=int64)),
                'texture_name': Sequence(string),
            }),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,,,,,,,,
SPOC,,0,FALSE,,,,,,,,2333000,,,,"1.search for a toilet
2.take the bottle with a lot of writing printed on it has a pump top to dispense the contents
3.go to the smallest electronic equipment in the bedroom
4.go to a kitchen utensil that can best be used for making hot water for tea and grasp that kitchen utensil
5.search for a candlestick and clutch that candlestick
6.search for an alarm clock and pick up that alarm clock
7.go to an alarm clock on a bed and grab that alarm clock
8.search for a vessel on a chest of drawers and grab that vessel
9.go to a mug and grab that mug
10.find a wine bottle and grab that wine bottle
11.navigate to 2 pans in the kitchen
12.hold a bowl
13.navigate to 2 foods in the kitchen
14.locate a timepiece that can best be used for waking up in the morning and grasp that timepiece
15.search for a pan and a step ladder, in that order
16.find the orange basketball with black lines and no other markings and pick it up
...
98.find the calendar furthest from the sofa in the livingroom
99.locate a bag on a chest of drawers, take that bag, and place it on a bed
100.grab the saw with a small blade and a red handle",✅,"1. totally simulate data
2. simulate data guide real world ","1.search for a toilet
2.take the bottle with a lot of writing printed on it has a pump top to dispense the contents
3.go to the smallest electronic equipment in the bedroom
4.go to a kitchen utensil that can best be used for making hot water for tea and grasp that kitchen utensil
5.search for a candlestick and clutch that candlestick
6.search for an alarm clock and pick up that alarm clock
7.go to an alarm clock on a bed and grab that alarm clock
8.search for a vessel on a chest of drawers and grab that vessel
9.go to a mug and grab that mug
10.find a wine bottle and grab that wine bottle
11.navigate to 2 pans in the kitchen
12.hold a bowl
13.navigate to 2 foods in the kitchen
14.locate a timepiece that can best be used for waking up in the morning and grasp that timepiece
15.search for a pan and a step ladder, in that order
16.find the orange basketball with black lines and no other markings and pick it up
...
98.find the calendar furthest from the sofa in the livingroom
99.locate a bag on a chest of drawers, take that bag, and place it on a bed
100.grab the saw with a small blade and a red handle",,1,76,10,2,0,0,2,Hello Stretch,single Arm,,object in simualte home environment,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
        'task_target_split': string,
        'task_type': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(9,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_instruction': string,
        'observation': FeaturesDict({
            'an_object_is_in_hand': Scalar(shape=(), dtype=bool),
            'house_index': Scalar(shape=(), dtype=int64),
            'hypothetical_task_success': Scalar(shape=(), dtype=bool),
            'image': Image(shape=(224, 384, 3), dtype=uint8),
            'image_manipulation': Image(shape=(224, 384, 3), dtype=uint8),
            'last_action_is_random': Scalar(shape=(), dtype=bool),
            'last_action_str': string,
            'last_action_success': Scalar(shape=(), dtype=bool),
            'last_agent_location': Tensor(shape=(6,), dtype=float32),
            'manip_object_bbox': Tensor(shape=(10,), dtype=float32),
            'minimum_l2_target_distance': Scalar(shape=(), dtype=float32),
            'minimum_visible_target_alignment': Scalar(shape=(), dtype=float32),
            'nav_object_bbox': Tensor(shape=(10,), dtype=float32),
            'relative_arm_location_metadata': Tensor(shape=(4,), dtype=float32),
            'room_current_seen': Scalar(shape=(), dtype=bool),
            'rooms_seen': Scalar(shape=(), dtype=int64),
            'visible_target_4m_count': Scalar(shape=(), dtype=int64),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",joint position ：but 9 d,,,,,,,Sim2Real paper!,,,,
PlexRoboSuite,,0,FALSE,,,,,,,,402,,,,"1.Place the loaf of bread into the appropriate compartment.  67
2.Place the milk carton into the appropriate compartment.   67
3.Open the door by pressing down and pulling on the handle.  67
4.Place the red cube on top of the green cube. 67
5.Place the box of cereal into the appropriate compartment. 67
6.Put the loop with the handle onto the peg. 67",✅,1. good simulate data,"1.Place the loaf of bread into the appropriate compartment.  67
2.Place the milk carton into the appropriate compartment.   67
3.Open the door by pressing down and pulling on the handle.  67
4.Place the red cube on top of the green cube. 67
5.Place the box of cereal into the appropriate compartment. 67
6.Put the loop with the handle onto the peg. 67",,5,191,20,2,0,1,1,Franka Panda,single Arm,,"bread,milk carton,door,handel ,red,cube and so on","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float64),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8),
            'state': Tensor(shape=(32,), dtype=float64),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,,,,,,,,
RECON,,0,FALSE,,,,,,,,11830,,,,"only 1 :
Navigate to the goal.",✅,navigation,"only 1 :
Navigate to the goal.",,1,51,3,1,0,1,0,Jackal,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(120, 160, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,,CORL2021,,,,,,,,,
CoryHall,,0,FALSE,,,,,,,,7331,,,,"only 1 :
Navigate to the goal.",✅,navigation,"only 1 :
Navigate to the goal.",,1,20,5,1,0,1,0,RC Car,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 85, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,,,,,,,,,,,
SACSoN,,0,FALSE,,,,,,,,2995,,,,"only 1 :
Navigate to the goal.",✅,navigation,"only 1 :
Navigate to the goal.",,1,85,10,1,0,1,0,TurtleBot 2,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(120, 160, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,,,,,,,,
RoboVQA,,0,FALSE,,,,,,,,3331523,,,,dummy,✅,"image information is wrong , need to process in raw data",dummy instruction,,1,TODO,10,1,0,0,1,Google Robot,"3 embodiments: single-armed robot, single-armed human, single-armed human using grasping tools",,NA,"FeaturesDict({
    'timestamp_start': Tensor(shape=(), dtype=float32, description=""Start timestamp of the episode""),
    'timestamp_end': Tensor(shape=(), dtype=float32, description=""End timestamp of the episode""),
    'task_type': Tensor(shape=(), dtype=string, description=""Please see task type in https://g3doc.corp.google.com/experimental/robotics/grounded_dialog/data/dialog/synthetic_dialog/vqa/README.md?cl=head""),
    'timestamps': Sequence(
        Tensor(shape=(), dtype=float32, description=""Timestamps of the images""),
        length=-1
    ),
    'steps': Dataset({
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'raw_text_question': Tensor(shape=(), dtype=string, description=""Robot task question""),
            'raw_text_answer': Tensor(shape=(), dtype=string, description=""Robot task answer""),
            'images': Sequence(
                Image(shape=(288, 288, 3), dtype=uint8, encodingFormat=""jpeg""),
                length=-1
            ),
        }),
    }),
})",EEF Position,,,,,,,,,,,
Stanford Robocook,,0,FALSE,,,,,,,,"2,460",,,,"
pinch the dough with an asymmetric gripper
press the dough with a circle punch
pinch the dough with a two-rod symmetric gripper
press the dough with a square press
roll the dough with a small rolling pin
press the dough with a square punch
pinch the dough with a two-plane symmetric gripper
press the dough with a circle press
roll the dough with a large rolling pin",✅,modify action,"pinch with gripper
press with punch
press with press
roll with rolling pin",,2,45,5,4,4,0,4,Franka,Single Arm,,"kitchen tools
dough","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'extrinsics_1': Tensor(shape=(4, 4), dtype=float32, description=Camera 1 Extrinsic Matrix.),
        'extrinsics_2': Tensor(shape=(4, 4), dtype=float32, description=Camera 2 Extrinsic Matrix.),
        'extrinsics_3': Tensor(shape=(4, 4), dtype=float32, description=Camera 3 Extrinsic Matrix.),
        'extrinsics_4': Tensor(shape=(4, 4), dtype=float32, description=Camera 4 Extrinsic Matrix.),
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x robot end-effector velocities, 3x robot end-effector angular velocities, 1x gripper velocity].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth_1': Tensor(shape=(256, 256), dtype=float32, description=Camera 1 Depth observation.),
            'depth_2': Tensor(shape=(256, 256), dtype=float32, description=Camera 2 Depth observation.),
            'depth_3': Tensor(shape=(256, 256), dtype=float32, description=Camera 3 Depth observation.),
            'depth_4': Tensor(shape=(256, 256), dtype=float32, description=Camera 4 Depth observation.),
            'image_1': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 1 RGB observation.),
            'image_2': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 2 RGB observation.),
            'image_3': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 3 RGB observation.),
            'image_4': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 4 RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x robot end-effector position, 3x robot end-effector euler angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef velocity
3 eef angular velocity
1 gripper velocity",,CoRL 2023,,scripts,,,,,,,
QUT Dynamic Grasping,,0,FALSE,,,,,,,,812,,,,,✅,,,,,,30,3,0,2,1,franka,Single Arm,,,NA,EEF Position,,,,scripts,Franka,,cannot get it,,,,
ETH Agent Affordances,,0,FALSE,,,,,,,,118,,,,"close the oven
open the oven",✅,modify action,"close the oven
open the oven",,1,"1,265",66.6,1,1,0,1,Franka,Mobile manipulation,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
        'input_point_cloud': Tensor(shape=(10000, 3), dtype=float16, description=Point cloud (geometry only) of the object at the beginning of the episode (world frame) as a numpy array (10000,3).),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(6,), dtype=float32, description=Robot action, consists of [end-effector velocity (v_x,v_y,v_z,omega_x,omega_y,omega_z) in world frame),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Main camera RGB observation. Not available for this dataset, will be set to np.zeros.),
            'input_point_cloud': Tensor(shape=(10000, 3), dtype=float16, description=Point cloud (geometry only) of the object at the beginning of the episode (world frame) as a numpy array (10000,3).),
            'state': Tensor(shape=(8,), dtype=float32, description=State, consists of [end-effector pose (x,y,z,yaw,pitch,roll) in world frame, 1x gripper open/close, 1x door opening angle].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",,,"EEF velocity
v_x, v_y, v_z
omega_x, omega_y, omega_z",,,,Expert Policy,,,"input point-cloud
depth image（场景比较diverse，但action没有很diverse但质量较好）",,,,
QUT Dexterous Manpulation,,0,FALSE,,,,,,,,,,,,,✅,,,,,,30,2,0,1,,Franka,Mobile manipulation,,,NA,EEF Position,,,,,,,cannot get it,,,,
MPI Muscular Proprioception,,0,FALSE,,,,,,,,,,,,,,,,,,,500,0,0,0,,PAMY2,Single Arm,,,NA,Desired pressures for the artificial muscles,,,,,,,cannot get it,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
